data_dim,rho,seed,selected_epoch,selected_eval_w1,best_epoch,best_eval_w1
20,0.2,5,50.0,3.7857824102737716,50.0,3.7857824102737716
20,0.2,6,50.0,3.624087864505326,50.0,3.624087864505326
20,0.2,7,50.0,3.6858111047333413,50.0,3.6858111047333413
20,0.2,8,50.0,3.6363309702558677,50.0,3.6363309702558677
20,0.2,9,50.0,3.585933113063827,50.0,3.585933113063827
20,0.5,0,50.0,3.7876001742939787,50.0,3.7876001742939787
20,0.5,1,50.0,3.9012019054287794,50.0,3.9012019054287794
20,0.5,2,50.0,3.6412864904921918,50.0,3.6412864904921918
20,0.5,3,50.0,3.655492790611506,50.0,3.655492790611506
20,0.5,4,50.0,3.6641484452253352,50.0,3.6641484452253352
20,0.5,5,50.0,3.585534909703517,50.0,3.585534909703517
20,0.5,6,50.0,3.9308215744279775,50.0,3.9308215744279775
20,0.5,7,50.0,3.6835980025899064,50.0,3.6835980025899064
20,0.5,8,50.0,3.675876289798041,50.0,3.675876289798041
20,0.5,9,50.0,3.8274146742731117,50.0,3.8274146742731117
20,0.8,0,50.0,3.9107742872746427,50.0,3.9107742872746427
20,0.8,1,50.0,3.8360382413266625,50.0,3.8360382413266625
20,0.8,2,50.0,3.9210999694432838,50.0,3.9210999694432838
20,0.8,3,50.0,3.774875797799598,50.0,3.774875797799598
20,0.8,4,50.0,3.766757608155891,50.0,3.766757608155891
20,0.8,5,50.0,3.563171903101533,50.0,3.563171903101533
20,0.8,6,50.0,3.683305040185691,50.0,3.683305040185691
20,0.8,7,50.0,3.8039816481210833,50.0,3.8039816481210833
20,0.8,8,50.0,3.770959581200092,50.0,3.770959581200092
20,0.8,9,50.0,3.7536926533999124,50.0,3.7536926533999124
