data_dim,rho,method,num_seeds,w1_mean,w1_std,w2_mean,w2_std,mean_error_mean,mean_error_std,diag_var_error_mean,diag_var_error_std,offdiag_cov_error_mean,offdiag_cov_error_std,cov_fro_error_mean,cov_fro_error_std,avg_abs_corr_mean,avg_abs_corr_std
10,0.8,Product marginals,10,2.8450713919909068,0.044086250038890384,3.0326170308739315,0.04703693500016576,0.09631001837551594,0.03288214863301732,0.035042693838477135,0.007846269970099172,0.7979147970676422,0.025516231866757125,7.57423768043518,0.24185092279407802,0.018008825182914735,0.0015391483832521528
10,0.8,WGAN,10,2.2981316725342613,0.04848955037794467,2.6660681294185387,0.05469146704424112,0.22791152745485305,0.10967215822743034,0.801548308134079,0.024896225446623024,0.7977167725563049,0.026173937975290208,7.9850880146026615,0.2565273226893991,0.018551771342754365,0.001437042514403096
20,0.2,Best diagonal Gaussian,10,4.165616417643431,0.03479492210096122,4.227406283250143,0.034078414955461274,0.15170699954032899,0.01516323328995848,0.08118456378579139,0.008921980660128358,0.1982285812497139,0.005048262950744896,3.9280762672424316,0.1024953992915172,0.01759666334837675,0.0009641279816169167
20,0.2,Product marginals,10,4.248667941852885,0.050926987726538704,4.311423654317423,0.05027552913328327,0.15742318332195282,0.01984139989580507,0.04110716730356216,0.005544950637634737,0.19803955852985383,0.004194612601281761,3.917024517059326,0.08416716677712426,0.018665699847042562,0.0004954481666959172
20,0.2,WGAN,10,3.7266700716933245,0.036867691436979697,3.8132951899651872,0.041806809752788145,0.4147956073284149,0.0711854693552154,0.7636187911033631,0.006316763289707195,0.19802105128765107,0.004799813128275271,5.181739759445191,0.0776570422506058,0.018457660637795924,0.0008318400088064503
20,0.5,Best diagonal Gaussian,10,4.043806893973363,0.07082783681881498,4.195217015427684,0.08493498047696448,0.1414822980761528,0.024639923538059334,0.30240861475467684,0.013709079528731755,0.49626469016075136,0.013657501547426185,9.780726051330566,0.27191817351268155,0.017596664652228356,0.0009641307509890468
20,0.5,Product marginals,10,4.422283968456247,0.06338625195327016,4.552665540087802,0.07385031353414637,0.15711648985743523,0.03195937177372859,0.03950548805296421,0.00395323914789622,0.49604605734348295,0.012945110090621737,9.689490222930909,0.2525534788916161,0.01870859581977129,0.0007241308859119551
20,0.5,WGAN,10,3.704726600627052,0.08049113249077239,3.9325970548117057,0.09493781240656858,0.2767014026641846,0.10320725953643796,0.8055274069309235,0.013220515588489903,0.4960927337408066,0.013630618563525525,10.331102180480958,0.2622414931331594,0.018442407064139844,0.0007877094307849043
20,0.8,Best diagonal Gaussian,10,3.847229820009281,0.14133340795836188,4.210110181331563,0.16420946857920335,0.12737271636724473,0.04524114109757639,0.6030522525310517,0.024391106347656677,0.7942692458629608,0.025647016825850816,15.719454193115235,0.511119574073789,0.017596663534641267,0.0009641305687636251
20,0.8,Product marginals,10,4.677502176555452,0.11063057075285687,4.893473465200605,0.1251856769424785,0.15067572817206382,0.048795514223002004,0.04005858451128006,0.012086569443877577,0.7937112748622894,0.025206287780685396,15.482049560546875,0.4907329692036388,0.018021777644753455,0.0005930047655879874
20,0.8,WGAN,10,3.6423853233936185,0.1593115612228872,4.136081749519198,0.18054464141463236,0.5232399940490723,0.2412589382353554,0.8564488530158997,0.027532492698692852,0.7942118525505066,0.02554607353367165,15.9539231300354,0.5076946719776008,0.018377382308244705,0.0011322169917816372
