mean_error,var_error,cov_12,corr,w1,w2,rho,seed,method
0.051437001675367355,0.02242821455001831,0.005815952084958553,0.005819546524435282,0.19791455000463343,0.2585065445439578,0.0,44,Best diagonal Gaussian
0.06576815247535706,0.04203405976295471,0.01523580215871334,0.015836777165532112,0.23982123630510957,0.28652341687634,0.0,44,Product marginals
0.019294358789920807,0.047907859086990356,0.006057452876120806,0.006242144852876663,0.22390595019182755,0.27489762997849865,0.0,44,WGAN
0.03847400099039078,0.03188586235046387,-0.002182197757065296,-0.0022720524575561285,0.17436992263887022,0.23088949751362994,0.0,45,Best diagonal Gaussian
0.03484620898962021,0.037389665842056274,-0.0027475084643810987,-0.00273612211458385,0.2111368111402496,0.2679123925245708,0.0,45,Product marginals
0.02664138190448284,0.08199858665466309,0.01817488856613636,0.018149714916944504,0.17949518098213577,0.24542836715961508,0.0,45,WGAN
0.1281323879957199,0.05165266990661621,0.0060187880881130695,0.006156540475785732,0.2539915841221384,0.3185625284491232,0.0,46,Best diagonal Gaussian
0.08408907055854797,0.07695505023002625,0.01736386865377426,0.017161007970571518,0.20573085548459777,0.27176931397610565,0.0,46,Product marginals
0.07075222581624985,0.2192184329032898,-0.0019101189682260156,-0.002446770202368498,0.2074436296557723,0.2722380244159157,0.0,46,WGAN
0.012423907406628132,0.02628481388092041,-0.01471160538494587,-0.014990599825978279,0.21288840137834603,0.28959713370126267,0.0,47,Best diagonal Gaussian
0.0701218992471695,0.050890713930130005,0.022731667384505272,0.023329945281147957,0.22745071811870268,0.2909205621154287,0.0,47,Product marginals
0.020215734839439392,0.10421770811080933,-0.00879841297864914,-0.009871257469058037,0.23421335402323623,0.30007151520270753,0.0,47,WGAN
0.02921588346362114,0.054850995540618896,-0.021496744826436043,-0.021549411118030548,0.235921109440115,0.3071292942399353,0.0,48,Best diagonal Gaussian
0.013234052807092667,0.07202932238578796,-0.020306313410401344,-0.020826635882258415,0.22761785231048712,0.29427201995422725,0.0,48,Product marginals
0.07429327070713043,0.07619574666023254,-0.004770494997501373,-0.004649519920349121,0.25455241166685266,0.3191169821920652,0.0,48,WGAN
0.05051173269748688,0.06453180313110352,-0.008102549239993095,-0.007979633286595345,0.22243573967528785,0.2893915951072884,0.0,49,Best diagonal Gaussian
0.020292863249778748,0.04483339190483093,-0.012090558186173439,-0.01218897569924593,0.20493426506132942,0.26142027307295873,0.0,49,Product marginals
0.039501238614320755,0.06881016492843628,-0.012359713204205036,-0.011721696704626083,0.2642394277105431,0.3118363696120813,0.0,49,WGAN
0.041701484471559525,0.05627161264419556,-0.0016870188992470503,-0.0017964714206755161,0.20759573875360615,0.276411622020271,0.2,0,Best diagonal Gaussian
0.0781799927353859,0.040420323610305786,0.011952229775488377,0.011953824199736118,0.2528458449136259,0.3179366432779135,0.2,0,Product marginals
0.12597613036632538,0.1803014874458313,0.009093303233385086,0.009892919100821018,0.22473293738158345,0.2929797476404391,0.2,0,WGAN
0.06792834401130676,0.02460581064224243,0.0015014210948720574,0.0015023809392005205,0.28878963241631717,0.3472499010966179,0.2,1,Best diagonal Gaussian
0.04281773045659065,0.07229381799697876,-0.03608124703168869,-0.035816740244627,0.26906279553601725,0.34227335784333823,0.2,1,Product marginals
0.10233563929796219,0.09295383095741272,0.03770344331860542,0.04049066826701164,0.227571812984964,0.2861962240138624,0.2,1,WGAN
0.09565352648496628,0.038071006536483765,-0.02106902375817299,-0.02117408812046051,0.23663127940577858,0.28880544770982447,0.2,2,Best diagonal Gaussian
0.10449162870645523,0.04275283217430115,0.012203137390315533,0.01281184982508421,0.3032123636842926,0.3861665361293225,0.2,2,Product marginals
0.05348004400730133,0.06035003066062927,-0.014325548894703388,-0.015315295197069645,0.2580942034841774,0.3253792524520384,0.2,2,WGAN
0.0532488115131855,0.04823926091194153,-0.01781831495463848,-0.017940834164619446,0.22355548438406642,0.28311721608817414,0.2,3,Best diagonal Gaussian
0.02866552211344242,0.0798092782497406,0.007817216217517853,0.007631069980561733,0.26095715518909834,0.3224106469789673,0.2,3,Product marginals
0.023504845798015594,0.04129830002784729,0.03705373778939247,0.037594351917505264,0.2416402015599877,0.3075008780678063,0.2,3,WGAN
0.04145192727446556,0.0335942804813385,0.016733678057789803,0.017308471724390984,0.2090097532089762,0.2542725639893184,0.2,4,Best diagonal Gaussian
0.10601487755775452,0.009094834327697754,0.0237809419631958,0.023741796612739563,0.26540639446852854,0.326117882959248,0.2,4,Product marginals
0.033927083015441895,0.03285747766494751,0.013412963598966599,0.013872433453798294,0.19830345598447438,0.25299016867717317,0.2,4,WGAN
0.08981785923242569,0.08475923538208008,0.011538682505488396,0.01180399302393198,0.22439523643685327,0.29412743829413823,0.2,5,Best diagonal Gaussian
0.10841741412878036,0.05584344267845154,-0.08047323673963547,-0.0827052891254425,0.2462186819910249,0.3092970533256418,0.2,5,Product marginals
0.11459876596927643,0.12605327367782593,-0.013767971657216549,-0.015465933829545975,0.27716371807597534,0.3523806252624407,0.2,5,WGAN
0.05974508821964264,0.011420369148254395,0.009742350317537785,0.00990546029061079,0.2565357564002585,0.30880630535796677,0.2,6,Best diagonal Gaussian
